student_number,course,birthdate,nationality,civil_status,gender,municipality,payment_status,balance,has_scholarship,number_of_units_enrolled,academic_probation_status,last_term_GWA
25-3907,Human Resource Management (BSBA‑HRM),2002-10-23,Filipino,Single,Female,Makati,With Balance,22962,False,15,,3.5
25-3580,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-11-11,Filipino,Single,Female,San Juan,With Balance,22398,False,21,,3.5
25-3911,Interactive Entertainment & Multimedia Computing (BS‑IEMC),1995-10-13,Filipino,Single,Male,Mandaluyong,With Balance,30033,False,18,,4.0
25-9129,Business Solutions & Applications (BSBA‑BSAA),2001-04-12,Vietnamese,Single,Male,Imus,With Balance,24635,False,15,,4.0
25-2110,Human Resource Management (BSBA‑HRM),2001-12-01,Filipino,Single,Female,Mandaluyong,Paid,0,False,24,,3.5
25-8855,Cybersecurity (BSCSEC),2003-03-15,Filipino,Single,Female,Manila,With Balance,12431,False,21,,3.5
25-2228,Cybersecurity (BSCSEC),2001-06-20,Vietnamese,Single,Male,Valenzuela,Paid,0,False,24,,4.0
25-4367,Business Solutions & Applications (BSBA‑BSAA),2004-11-10,Filipino,Single,Female,Rodriguez,Paid,0,False,15,,3.5
25-5825,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-04-04,Filipino,Single,Female,Makati,Paid,0,False,24,,2.0
25-5341,Business Intelligence & Analytics (BSBA‑BIA),2006-03-12,Filipino,Single,Female,Quezon City,Paid,0,False,18,,3.0
25-3476,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-11-12,Filipino,Single,Male,San Mateo,Paid,0,True,24,,3.5
25-9773,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-10-08,Filipino,Single,Male,Antipolo,Paid,0,False,18,monitoring,4.0
25-3738,Business Solutions & Applications (BSBA‑BSAA),2002-01-14,Filipino,Single,Male,Bacoor,Paid,0,False,21,,2.0
25-2097,Business Intelligence & Analytics (BSBA‑BIA),2006-09-11,Filipino,Single,Male,Cainta,With Balance,13687,False,24,restrictions,3.0
25-2641,Business Intelligence & Analytics (BSBA‑BIA),2001-05-28,Filipino,Single,Female,Marikina,Paid,0,False,24,monitoring,3.5
25-7581,Business Intelligence & Analytics (BSBA‑BIA),2005-12-08,Filipino,Single,Female,Parañaque,Paid,0,True,21,,2.0
25-2609,Business Solutions & Applications (BSBA‑BSAA),2007-06-09,Filipino,Single,Male,Caloocan,With Balance,23342,False,24,,2.0
25-1920,Cybersecurity (BSCSEC),2001-05-23,Filipino,Single,Male,Mandaluyong,With Balance,37426,False,15,,3.5
25-6904,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-08-17,Filipino,Single,Male,San Juan,Paid,0,False,18,,3.5
25-6730,Human Resource Management (BSBA‑HRM),2004-12-27,Filipino,Single,Female,Quezon City,Paid,0,False,18,,3.0
25-4387,Human Resource Management (BSBA‑HRM),2000-11-01,Filipino,Single,Male,Cainta,Paid,0,False,21,,3.0
25-5511,Information Systems (BS‑IS),2005-08-09,Filipino,Single,Female,Rodriguez,Paid,0,False,21,,3.0
25-5631,Human Resource Management (BSBA‑HRM),2007-02-11,Vietnamese,Single,Female,Marikina,With Balance,31347,False,21,,3.0
25-4937,Business Intelligence & Analytics (BSBA‑BIA),2006-11-11,Filipino,Single,Female,Las Piñas,Paid,0,False,24,,3.0
25-4111,Human Resource Management (BSBA‑HRM),2003-11-18,Filipino,Single,Female,Antipolo,Paid,0,False,18,,3.5
25-5237,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-11-11,Filipino,Single,Male,Las Piñas,With Balance,22179,False,21,,3.5
25-2929,Information Systems (BS‑IS),2001-08-07,Filipino,Single,Female,Antipolo,Paid,0,False,18,advising,3.5
25-8496,Business Solutions & Applications (BSBA‑BSAA),2002-02-16,Filipino,Married,Female,Bacoor,Paid,0,True,24,,3.0
25-3762,Cybersecurity (BSCSEC),2007-02-05,Filipino,Single,Female,Valenzuela,Paid,0,False,15,,3.0
25-1230,Human Resource Management (BSBA‑HRM),2003-01-22,Filipino,Single,Male,Parañaque,Paid,0,False,21,,2.0
25-5885,Human Resource Management (BSBA‑HRM),2005-07-22,American,Single,Female,Parañaque,Paid,0,False,24,advising,3.0
25-3149,Business Solutions & Applications (BSBA‑BSAA),2002-02-12,Filipino,Single,Female,Bacoor,Paid,0,False,15,,4.0
25-2771,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-12-04,Filipino,Single,Female,Malabon,Paid,0,False,15,,3.0
25-9524,Human Resource Management (BSBA‑HRM),2002-07-27,Filipino,Single,Male,Las Piñas,Paid,0,False,18,,3.0
25-9571,Business Solutions & Applications (BSBA‑BSAA),2006-05-06,Filipino,Single,Male,Malabon,Paid,0,False,15,,2.0
25-9095,Business Solutions & Applications (BSBA‑BSAA),2001-12-24,Filipino,Single,Male,Navotas,Paid,0,False,24,advising,2.0
25-5760,Human Resource Management (BSBA‑HRM),2005-07-24,Filipino,Single,Male,Manila,Paid,0,False,18,,2.0
25-5395,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-03-04,Filipino,Single,Female,Pasay,Paid,0,False,24,,3.0
25-2852,Business Solutions & Applications (BSBA‑BSAA),2000-03-04,Filipino,Single,Female,Mandaluyong,With Balance,30032,False,15,,2.0
25-3140,Information Systems (BS‑IS),2001-07-15,Filipino,Single,Female,Manila,Paid,0,False,18,,3.0
25-6542,Cybersecurity (BSCSEC),2001-07-22,Filipino,Single,Female,Pasig,Paid,0,False,15,advising,3.0
25-8688,Information Systems (BS‑IS),2001-08-11,Filipino,Married,Male,Antipolo,Paid,0,False,24,,4.0
25-8341,Business Intelligence & Analytics (BSBA‑BIA),2007-06-04,Vietnamese,Single,Male,Taguig,Paid,0,False,15,,3.0
25-5990,Cybersecurity (BSCSEC),2007-06-12,Filipino,Single,Female,Muntinlupa,Paid,0,False,24,,3.5
25-8414,Business Intelligence & Analytics (BSBA‑BIA),2003-01-11,Filipino,Single,Female,San Mateo,With Balance,11500,False,18,,2.0
25-7704,Business Intelligence & Analytics (BSBA‑BIA),2003-04-04,Filipino,Single,Female,Caloocan,Paid,0,False,24,restrictions,2.0
25-3018,Information Systems (BS‑IS),2002-08-01,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,4.0
25-3103,Business Intelligence & Analytics (BSBA‑BIA),2005-09-13,Filipino,Single,Male,Marikina,Paid,0,False,21,,4.0
25-7762,Cybersecurity (BSCSEC),2004-12-18,Filipino,Single,Male,Caloocan,With Balance,32498,False,21,,4.0
25-3913,Cybersecurity (BSCSEC),2005-12-04,Filipino,Single,Female,Imus,With Balance,19369,False,24,,3.0
25-1414,Information Systems (BS‑IS),2000-04-09,Filipino,Single,Female,Imus,With Balance,32629,False,21,,3.0
25-6876,Information Systems (BS‑IS),2003-12-21,Filipino,Single,Female,Imus,Paid,0,True,24,,1.0
25-6122,Cybersecurity (BSCSEC),2004-04-20,Filipino,Single,Female,San Juan,With Balance,31221,False,21,,3.0
25-4218,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-08-06,Vietnamese,Single,Male,Antipolo,Paid,0,False,21,,4.0
25-5178,Business Intelligence & Analytics (BSBA‑BIA),2002-01-05,Filipino,Single,Female,Malabon,Paid,0,False,15,,3.5
25-4603,Business Solutions & Applications (BSBA‑BSAA),2002-07-18,Filipino,Single,Male,Caloocan,Paid,0,False,21,,3.0
25-9691,Information Systems (BS‑IS),2000-02-22,Filipino,Single,Male,Quezon City,Paid,0,False,15,,3.0
25-5633,Business Intelligence & Analytics (BSBA‑BIA),2005-09-26,Filipino,Single,Female,Bacoor,Paid,0,False,15,,1.0
25-9814,Cybersecurity (BSCSEC),1990-04-22,Filipino,Single,Female,Taguig,With Balance,38791,False,24,,2.0
25-3519,Business Intelligence & Analytics (BSBA‑BIA),2007-12-11,Filipino,Single,Male,Marikina,Paid,0,False,18,,3.5
25-8391,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-07-11,Filipino,Single,Male,Bacoor,Paid,0,False,15,,4.0
25-9238,Business Intelligence & Analytics (BSBA‑BIA),2004-11-10,Filipino,Single,Female,Pasay,Paid,0,False,24,,4.0
25-7406,Cybersecurity (BSCSEC),2004-11-05,Filipino,Single,Female,Manila,Paid,0,False,15,restrictions,3.0
25-9800,Cybersecurity (BSCSEC),2001-05-07,Filipino,Single,Female,Caloocan,Paid,0,False,18,,4.0
25-5140,Business Solutions & Applications (BSBA‑BSAA),2001-03-22,Filipino,Single,Female,Bacoor,Paid,0,False,15,,4.0
25-8982,Human Resource Management (BSBA‑HRM),2005-03-22,Filipino,Single,Male,Caloocan,Paid,0,False,21,,4.0
25-6971,Human Resource Management (BSBA‑HRM),2006-03-01,Filipino,Single,Female,Marikina,Paid,0,False,21,,3.5
25-6877,Human Resource Management (BSBA‑HRM),2007-09-04,Filipino,Single,Female,Pasig,Paid,0,False,15,,2.0
25-9309,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-10-19,Filipino,Single,Male,San Mateo,With Balance,27684,False,24,,4.0
25-7430,Business Solutions & Applications (BSBA‑BSAA),2004-03-15,Filipino,Single,Female,Antipolo,Paid,0,True,18,,2.0
25-3717,Cybersecurity (BSCSEC),2002-08-06,Filipino,Single,Male,Malabon,Paid,0,False,24,,3.5
25-4834,Business Intelligence & Analytics (BSBA‑BIA),2003-09-26,Filipino,Single,Female,Quezon City,Paid,0,True,21,restrictions,3.0
25-5480,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-10-18,Filipino,Single,Female,Parañaque,With Balance,12550,False,21,,2.0
25-9460,Information Systems (BS‑IS),2005-06-16,Filipino,Single,Male,Antipolo,Paid,0,False,18,restrictions,3.5
25-3461,Business Solutions & Applications (BSBA‑BSAA),2002-06-20,Filipino,Single,Male,Valenzuela,With Balance,25778,False,24,,3.0
25-7732,Business Intelligence & Analytics (BSBA‑BIA),2003-01-05,Filipino,Single,Male,Rodriguez,Paid,0,False,18,,3.5
25-1305,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-02-07,Filipino,Married,Female,Mandaluyong,Paid,0,False,18,,2.0
25-3979,Cybersecurity (BSCSEC),2004-03-24,Filipino,Single,Male,San Juan,Paid,0,False,15,,2.0
25-9263,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-03-20,Filipino,Single,Male,San Mateo,Paid,0,False,24,,2.0
25-9835,Business Intelligence & Analytics (BSBA‑BIA),2006-09-14,Filipino,Single,Female,San Juan,Paid,0,False,24,,2.0
25-2600,Information Systems (BS‑IS),2002-05-16,Filipino,Single,Male,Las Piñas,Paid,0,False,21,,3.0
25-1116,Cybersecurity (BSCSEC),2001-09-01,Filipino,Single,Female,Valenzuela,Paid,0,False,21,,3.0
25-6990,Cybersecurity (BSCSEC),2004-11-13,Filipino,Single,Female,Mandaluyong,Paid,0,False,21,,3.0
25-7522,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-11-04,Filipino,Single,Male,Taguig,Paid,0,False,21,,3.0
25-1852,Business Solutions & Applications (BSBA‑BSAA),2006-11-01,Filipino,Single,Female,Cainta,Paid,0,False,18,,3.0
25-7296,Information Systems (BS‑IS),2004-12-20,Filipino,Single,Male,Bacoor,Paid,0,False,21,,3.0
25-9364,Cybersecurity (BSCSEC),2003-10-06,Filipino,Single,Male,Mandaluyong,Paid,0,True,21,,3.5
25-7474,Information Systems (BS‑IS),2003-09-01,Filipino,Single,Male,San Mateo,With Balance,39983,False,21,,2.0
25-4707,Cybersecurity (BSCSEC),2003-08-13,Filipino,Single,Female,Antipolo,Paid,0,False,21,,4.0
25-9409,Human Resource Management (BSBA‑HRM),2004-12-15,Korean,Single,Male,Muntinlupa,Paid,0,False,24,,2.0
25-8896,Business Intelligence & Analytics (BSBA‑BIA),2004-02-13,Filipino,Married,Male,Muntinlupa,Paid,0,False,15,,3.5
25-5706,Business Intelligence & Analytics (BSBA‑BIA),2006-11-24,Filipino,Single,Male,Malabon,Paid,0,False,21,,3.0
25-4115,Information Systems (BS‑IS),2003-04-24,Filipino,Single,Male,Caloocan,With Balance,21666,False,18,,4.0
25-2285,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-10-01,Filipino,Single,Male,Malabon,Paid,0,False,21,,1.0
25-9374,Human Resource Management (BSBA‑HRM),2006-04-25,Filipino,Single,Female,Malabon,Paid,0,False,21,,3.0
25-3863,Information Systems (BS‑IS),2001-12-17,Filipino,Single,Male,Imus,Paid,0,False,21,,2.0
25-4066,Cybersecurity (BSCSEC),2004-04-09,Filipino,Single,Female,Mandaluyong,Paid,0,False,21,,3.5
25-8384,Business Solutions & Applications (BSBA‑BSAA),2002-10-22,Filipino,Single,Female,San Juan,With Balance,16424,False,18,,3.0
25-8749,Business Intelligence & Analytics (BSBA‑BIA),2002-07-16,Filipino,Single,Female,Malabon,Paid,0,False,15,,3.0
25-1983,Business Solutions & Applications (BSBA‑BSAA),2004-08-27,Filipino,Single,Female,Marikina,Paid,0,False,21,,3.5
25-6752,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2003-10-19,Filipino,Single,Female,Parañaque,Paid,0,False,24,,3.5
25-5694,Information Systems (BS‑IS),2002-03-21,Filipino,Single,Female,Makati,Paid,0,True,21,,3.5
25-5773,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-10-21,Filipino,Single,Female,Rodriguez,Paid,0,False,18,,4.0
25-4844,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-12-23,Filipino,Single,Female,Taguig,Paid,0,True,24,,4.0
25-7504,Cybersecurity (BSCSEC),2001-02-09,Filipino,Single,Female,Las Piñas,With Balance,24521,False,18,advising,4.0
25-6846,Human Resource Management (BSBA‑HRM),2007-08-28,Filipino,Single,Female,Pasig,Paid,0,False,18,,3.5
25-8126,Cybersecurity (BSCSEC),2004-06-16,Filipino,Single,Female,Las Piñas,Paid,0,False,21,restrictions,2.0
25-3233,Human Resource Management (BSBA‑HRM),2004-08-18,Filipino,Single,Female,Las Piñas,Paid,0,True,24,,3.0
25-1118,Cybersecurity (BSCSEC),2005-04-14,Filipino,Single,Male,Mandaluyong,Paid,0,False,24,,4.0
25-4924,Cybersecurity (BSCSEC),2004-05-21,Filipino,Single,Female,Caloocan,Paid,0,False,21,monitoring,3.0
25-5458,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-04-11,Filipino,Single,Male,Mandaluyong,Paid,0,False,18,,3.0
25-4814,Business Intelligence & Analytics (BSBA‑BIA),2002-01-16,Filipino,Single,Female,Parañaque,With Balance,20821,False,15,,1.0
25-1918,Human Resource Management (BSBA‑HRM),2006-02-18,Filipino,Single,Female,Pasay,Paid,0,False,18,,1.0
25-5049,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-04-15,Filipino,Single,Male,Malabon,With Balance,20586,False,18,,4.0
25-9534,Business Intelligence & Analytics (BSBA‑BIA),2004-08-21,Filipino,Single,Male,Imus,Paid,0,False,24,,4.0
25-5523,Cybersecurity (BSCSEC),2001-07-26,Filipino,Single,Female,Cainta,With Balance,18150,False,18,,3.0
25-6544,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2000-01-12,Filipino,Single,Male,Pasig,Paid,0,False,21,,3.5
25-4161,Business Intelligence & Analytics (BSBA‑BIA),2006-06-24,Filipino,Single,Female,Navotas,Paid,0,False,24,,4.0
25-6696,Human Resource Management (BSBA‑HRM),2007-05-28,Filipino,Single,Male,Makati,Paid,0,False,21,,3.5
25-9289,Information Systems (BS‑IS),2002-01-20,Filipino,Single,Male,Muntinlupa,Paid,0,False,24,,3.0
25-3525,Cybersecurity (BSCSEC),2004-06-14,Filipino,Single,Male,Quezon City,Paid,0,False,15,,3.5
25-2617,Business Intelligence & Analytics (BSBA‑BIA),2006-11-16,Filipino,Single,Female,Quezon City,Paid,0,False,15,advising,3.0
25-2310,Information Systems (BS‑IS),2000-06-18,Filipino,Single,Female,Quezon City,Paid,0,False,15,,2.0
25-2276,Business Solutions & Applications (BSBA‑BSAA),2001-02-24,Filipino,Single,Male,Antipolo,Paid,0,False,18,,3.0
25-2728,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-11-15,Filipino,Single,Male,Mandaluyong,Paid,0,False,21,,3.0
25-8258,Human Resource Management (BSBA‑HRM),2005-09-11,Filipino,Single,Female,Muntinlupa,Paid,0,False,18,,3.0
25-5162,Human Resource Management (BSBA‑HRM),2007-08-13,Filipino,Single,Female,Cainta,Paid,0,True,18,,3.5
25-5920,Business Solutions & Applications (BSBA‑BSAA),2003-06-01,Filipino,Single,Female,San Mateo,Paid,0,False,18,monitoring,3.5
25-3267,Human Resource Management (BSBA‑HRM),2005-10-08,Filipino,Single,Male,Rodriguez,With Balance,34060,False,15,,3.0
25-3832,Information Systems (BS‑IS),2001-10-21,Filipino,Single,Female,Makati,With Balance,20957,False,21,,3.5
25-2974,Business Solutions & Applications (BSBA‑BSAA),2000-11-25,Filipino,Single,Male,Muntinlupa,Paid,0,False,18,,3.0
25-7436,Information Systems (BS‑IS),2001-04-14,Filipino,Single,Male,Muntinlupa,Paid,0,True,15,,3.5
25-7529,Cybersecurity (BSCSEC),2006-12-05,Filipino,Single,Male,Malabon,Paid,0,False,18,,3.5
25-8046,Human Resource Management (BSBA‑HRM),2001-02-22,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,,3.5
25-8245,Cybersecurity (BSCSEC),2002-08-02,Filipino,Single,Female,Pasig,With Balance,13682,False,15,,3.0
25-5713,Business Intelligence & Analytics (BSBA‑BIA),2005-12-26,Filipino,Single,Male,Muntinlupa,Paid,0,False,18,,3.0
25-9991,Information Systems (BS‑IS),2002-12-23,Filipino,Single,Male,Marikina,Paid,0,False,21,restrictions,2.0
25-2091,Information Systems (BS‑IS),2004-11-28,Filipino,Single,Male,Manila,With Balance,22665,False,18,,3.0
25-2631,Human Resource Management (BSBA‑HRM),2007-10-18,Filipino,Single,Female,San Mateo,Paid,0,False,18,,3.5
25-9027,Information Systems (BS‑IS),2002-01-12,Filipino,Single,Female,San Juan,With Balance,19039,False,15,,2.0
25-1482,Cybersecurity (BSCSEC),2004-04-05,Filipino,Single,Male,Makati,Paid,0,False,18,,3.0
25-7987,Human Resource Management (BSBA‑HRM),2005-08-18,Filipino,Single,Male,Pasig,With Balance,27164,False,18,,2.0
25-3378,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-06-03,Filipino,Single,Male,Mandaluyong,With Balance,33824,False,15,,2.0
25-7783,Information Systems (BS‑IS),2004-08-24,Filipino,Single,Female,Pasig,Paid,0,False,18,restrictions,3.0
25-4783,Cybersecurity (BSCSEC),2003-04-22,Filipino,Single,Female,Pasig,Paid,0,False,21,,3.5
25-8763,Business Solutions & Applications (BSBA‑BSAA),2002-04-08,Filipino,Single,Male,Marikina,Paid,0,False,18,,4.0
25-8197,Cybersecurity (BSCSEC),2007-12-11,Filipino,Single,Female,Pasay,Paid,0,False,24,,3.5
25-9784,Cybersecurity (BSCSEC),2000-09-04,Filipino,Single,Male,San Juan,Paid,0,False,15,,3.0
25-1807,Business Solutions & Applications (BSBA‑BSAA),2004-08-13,Filipino,Single,Female,Navotas,Paid,0,False,15,,2.0
25-8595,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-02-24,Filipino,Single,Male,Pasay,Paid,0,False,18,,2.0
25-4308,Information Systems (BS‑IS),2001-05-11,Filipino,Single,Male,Taguig,Paid,0,True,24,,4.0
25-7292,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-07-18,Filipino,Single,Female,Rodriguez,With Balance,15312,False,18,,3.0
25-7874,Human Resource Management (BSBA‑HRM),2004-12-25,Korean,Single,Male,Taguig,With Balance,10115,False,21,monitoring,2.0
25-9904,Business Intelligence & Analytics (BSBA‑BIA),2007-04-07,Filipino,Single,Female,Navotas,Paid,0,True,15,,3.0
25-4401,Business Intelligence & Analytics (BSBA‑BIA),2002-03-02,Filipino,Single,Male,Imus,Paid,0,False,21,,4.0
25-7831,Business Solutions & Applications (BSBA‑BSAA),2002-11-10,Filipino,Single,Male,Navotas,Paid,0,False,15,monitoring,3.5
25-7208,Business Intelligence & Analytics (BSBA‑BIA),2006-09-03,Filipino,Single,Female,Muntinlupa,Paid,0,False,18,,4.0
25-9666,Business Intelligence & Analytics (BSBA‑BIA),2007-12-23,Filipino,Single,Female,Valenzuela,Paid,0,False,21,,3.0
25-9132,Cybersecurity (BSCSEC),2007-08-26,Filipino,Single,Female,Caloocan,Paid,0,True,15,,3.0
25-4396,Cybersecurity (BSCSEC),2006-07-02,Filipino,Single,Male,Manila,Paid,0,False,21,,3.5
25-9301,Cybersecurity (BSCSEC),2005-01-04,Filipino,Single,Male,Mandaluyong,With Balance,32035,False,24,,3.0
25-3224,Information Systems (BS‑IS),2002-11-15,Filipino,Single,Female,Navotas,Paid,0,False,15,,3.5
25-6169,Cybersecurity (BSCSEC),2000-04-19,Filipino,Single,Female,Makati,Paid,0,False,15,,3.5
25-9753,Business Solutions & Applications (BSBA‑BSAA),2006-03-20,Filipino,Single,Female,Muntinlupa,Paid,0,False,15,,4.0
25-8404,Human Resource Management (BSBA‑HRM),2003-09-10,Filipino,Single,Male,Caloocan,Paid,0,False,15,,2.0
25-3524,Business Solutions & Applications (BSBA‑BSAA),2005-08-24,Filipino,Single,Female,Pasig,Paid,0,False,18,,4.0
25-7350,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-01-10,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,monitoring,3.0
25-4438,Human Resource Management (BSBA‑HRM),2003-04-10,Filipino,Single,Female,Imus,Paid,0,False,21,restrictions,3.0
25-2677,Business Solutions & Applications (BSBA‑BSAA),2005-09-11,Filipino,Single,Female,Rodriguez,Paid,0,False,21,,4.0
25-1475,Information Systems (BS‑IS),2000-02-13,Filipino,Single,Male,Cainta,Paid,0,False,24,,3.5
25-4246,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2001-08-19,Filipino,Single,Female,Taguig,Paid,0,False,24,,2.0
25-3354,Cybersecurity (BSCSEC),2004-06-13,Filipino,Single,Female,Muntinlupa,Paid,0,False,24,monitoring,3.5
25-3798,Human Resource Management (BSBA‑HRM),2005-10-19,Filipino,Single,Male,Muntinlupa,Paid,0,False,21,,3.5
25-7773,Business Solutions & Applications (BSBA‑BSAA),2003-09-06,Japanese,Single,Female,Caloocan,Paid,0,False,24,,3.5
25-4869,Business Solutions & Applications (BSBA‑BSAA),2001-12-23,Filipino,Single,Female,Muntinlupa,With Balance,15772,False,21,,4.0
25-2781,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2006-06-16,Filipino,Single,Male,Pasig,With Balance,30844,False,15,,3.0
25-8421,Cybersecurity (BSCSEC),2004-07-20,Filipino,Single,Female,Las Piñas,With Balance,19979,False,24,,2.0
25-2462,Cybersecurity (BSCSEC),2000-10-17,Filipino,Single,Female,Quezon City,Paid,0,False,15,restrictions,2.0
25-6885,Business Intelligence & Analytics (BSBA‑BIA),2004-01-08,Filipino,Single,Female,Pasay,Paid,0,False,18,,3.5
25-4083,Cybersecurity (BSCSEC),2006-06-27,Filipino,Single,Male,Pasig,Paid,0,True,15,monitoring,3.0
25-2387,Business Solutions & Applications (BSBA‑BSAA),2006-08-26,Filipino,Single,Male,Navotas,Paid,0,False,24,,4.0
25-7959,Cybersecurity (BSCSEC),2000-10-16,Filipino,Single,Female,Valenzuela,Paid,0,False,15,,3.0
25-7038,Business Intelligence & Analytics (BSBA‑BIA),2007-12-03,Filipino,Single,Female,Navotas,Paid,0,False,15,,3.0
25-2279,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-10-02,Filipino,Single,Male,Malabon,With Balance,28807,False,21,,1.0
25-5827,Human Resource Management (BSBA‑HRM),2002-01-23,Filipino,Single,Female,Quezon City,Paid,0,False,15,,3.5
24-1447,Human Resource Management (BSBA‑HRM),2007-02-05,Filipino,Single,Female,Marikina,Paid,0,False,21,advising,3.0
24-3476,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-06-26,Filipino,Single,Male,Malabon,Paid,0,False,15,,4.0
24-3376,Cybersecurity (BSCSEC),2002-08-25,American,Single,Male,Imus,Paid,0,False,18,,2.0
24-1890,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-02-02,Filipino,Single,Female,Malabon,With Balance,27449,False,18,,3.0
24-8775,Human Resource Management (BSBA‑HRM),2002-09-28,Filipino,Single,Female,Pasay,With Balance,32376,False,15,restrictions,3.0
24-8074,Cybersecurity (BSCSEC),2004-06-09,Filipino,Single,Female,Navotas,With Balance,34061,False,18,,3.0
24-3947,Human Resource Management (BSBA‑HRM),2000-11-01,Filipino,Single,Male,Antipolo,Paid,0,False,18,,3.5
24-1557,Business Intelligence & Analytics (BSBA‑BIA),2001-01-20,Filipino,Single,Male,Taguig,Paid,0,True,18,,3.0
24-4027,Business Intelligence & Analytics (BSBA‑BIA),2002-05-10,Filipino,Single,Female,Marikina,Paid,0,False,21,,3.0
24-5543,Business Intelligence & Analytics (BSBA‑BIA),2006-07-11,American,Single,Female,Mandaluyong,Paid,0,False,18,,4.0
24-9061,Business Intelligence & Analytics (BSBA‑BIA),2002-09-25,Filipino,Single,Male,Navotas,Paid,0,False,15,restrictions,3.5
24-8305,Business Intelligence & Analytics (BSBA‑BIA),2007-03-21,Filipino,Single,Female,Marikina,Paid,0,False,24,,3.0
24-9039,Information Systems (BS‑IS),2006-07-28,Filipino,Single,Male,San Mateo,Paid,0,False,24,restrictions,2.0
24-6880,Human Resource Management (BSBA‑HRM),2004-07-02,Filipino,Single,Male,Parañaque,With Balance,12636,False,24,,3.5
24-4327,Business Solutions & Applications (BSBA‑BSAA),2000-07-22,Filipino,Single,Male,Bacoor,Paid,0,False,24,,4.0
24-4163,Business Intelligence & Analytics (BSBA‑BIA),2003-08-13,Filipino,Single,Female,Malabon,With Balance,24722,False,15,advising,3.5
24-1701,Information Systems (BS‑IS),2001-04-26,Filipino,Single,Male,Rodriguez,Paid,0,False,18,,4.0
24-1750,Business Solutions & Applications (BSBA‑BSAA),2002-01-06,Filipino,Single,Male,Navotas,With Balance,12095,False,15,restrictions,3.0
24-4613,Business Intelligence & Analytics (BSBA‑BIA),2003-07-11,Filipino,Married,Female,Muntinlupa,Paid,0,False,18,,1.0
24-4493,Business Intelligence & Analytics (BSBA‑BIA),2002-06-03,Filipino,Single,Female,Mandaluyong,Paid,0,False,24,,3.0
24-3185,Business Intelligence & Analytics (BSBA‑BIA),2006-03-01,Filipino,Single,Male,Mandaluyong,With Balance,29455,False,21,,2.0
24-8798,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2002-04-05,Filipino,Single,Female,San Juan,Paid,0,False,15,,3.0
24-2442,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2004-06-14,Filipino,Single,Male,Antipolo,Paid,0,False,18,,3.0
24-4409,Human Resource Management (BSBA‑HRM),2000-04-04,Filipino,Single,Female,Malabon,Paid,0,False,15,monitoring,3.5
24-8121,Human Resource Management (BSBA‑HRM),2005-10-26,Filipino,Single,Male,Quezon City,Paid,0,False,15,,4.0
24-4855,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2007-10-19,Filipino,Single,Female,San Juan,Paid,0,False,15,,3.5
24-4276,Information Systems (BS‑IS),2003-02-16,Filipino,Single,Female,Pasig,Paid,0,False,18,,4.0
24-4181,Interactive Entertainment & Multimedia Computing (BS‑IEMC),2005-05-07,Filipino,Single,Male,Marikina,With Balance,25026,False,24,,3.5
24-5835,Cybersecurity (BSCSEC),2002-11-20,Filipino,Single,Male,Makati,Paid,0,False,18,,2.0
24-5573,Business Intelligence & Analytics (BSBA‑BIA),2006-12-28,Filipino,Single,Male,Rodriguez,With Balance,39433,False,15,,4.0
